국가유산종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,종목코드,시도코드,관리번호,경도,위도
보물,백자 달항아리(2005-2),白磁 壺(2005-2),서울,종로구,김＊＊＊,12,11,0014380000000,0,0
보물,백자 달항아리(2005-3),白磁 壺(2005-3),서울,종로구,김＊＊＊,12,11,0014390000000,126.9367526,37.5206508
보물,백자 달항아리(2005-4),白磁 壺(2005-4),서울,용산구,아모레퍼시픽 미술관,12,11,0014410000000,0,0
보물,일월반도도 병풍,日月蟠桃圖 屛風,서울,종로구,국립고궁박물관,12,11,0014420000000,126.974851135691,37.576571075929
보물,왕세자탄강진하도 병풍,王世子誕降陳賀圖 屛風,서울,종로구,국립고궁박물관,12,11,0014430000000,126.974851135691,37.576571075929
보물,은입사 귀면문 철퇴,銀入絲 鬼面文 鐵鎚,서울,종로구,국립고궁박물관,12,11,0014440000000,126.974851135691,37.576571075929
보물,예천 용문사 영산회 괘불탱,醴泉 龍門寺 靈山會 掛佛幀,경북,예천군,용문사,12,37,0014450000000,128.3694961,36.7313865
보물,남해 용문사 괘불탱,南海 龍門寺 掛佛幀,경남,남해군,대한불교조계종 용문사,12,38,0014460000000,127.9229485,34.7880541
보물,청자 상감화조문 도판,靑磁 象嵌花鳥文 陶板,서울,용산구,삼성문화재단,12,11,0014470000000,126.9654442,37.5384272
보물,백자 청화보상당초문 항아리,白磁 靑畵寶相唐草文 壺,서울,용산구,삼성문화재단,12,11,0014480000000,126.9654442,37.5384272
보물,청자 기린모양 연적,靑磁 麒麟形 硯滴,서울,종로구,김＊＊＊,12,11,0014490000000,0,0
보물,분청사기 상감사각묘지 및 분청사기 인화문 사각편병,粉靑沙器 象嵌四角墓誌 및 粉靑沙器 印花文 四角扁甁,서울,용산구,아모레퍼시픽 미술관,12,11,0014500000000,0,0
보물,청자 상감운학국화문 병형 주전자,靑磁 象嵌雲鶴菊花文 甁形 注子,서울,관악구,호림박물관,12,11,0014510000000,126.9516133,37.4784063
