Fold,Validation_Year,Model,Train_Count,Validation_Count,Validation_Danger_Count,Accuracy,Macro_F1,Weighted_F1,Balanced_Accuracy,Safe_F1,Caution_F1,Danger_Precision,Danger_Recall,Danger_F1
1,2020,Random Forest,5010,5490,79,0.9091074681238616,0.5397893787301887,0.8987566034804003,0.529112434923701,0.9553950722175021,0.663973063973064,0.0,0.0,0.0
1,2020,Extra Trees,5010,5490,79,0.9098360655737705,0.5379701282271894,0.8983697553379527,0.5236199809422611,0.9559974613920034,0.6579129232895646,0.0,0.0,0.0
1,2020,Gradient Boosting,5010,5490,79,0.8994535519125683,0.5362346958405518,0.8927835265898153,0.5395595963028846,0.9490246793835543,0.6596794081381011,0.0,0.0,0.0
2,2021,Random Forest,10500,5475,126,0.9347945205479452,0.8572307263199246,0.934624746274385,0.8163867478529337,0.9637511693171188,0.8372093023255814,1.0,0.626984126984127,0.7707317073170732
2,2021,Extra Trees,10500,5475,126,0.9357077625570777,0.832416942099691,0.9340427891939589,0.7875587615790604,0.9664817383263985,0.8317399617590823,0.9,0.5714285714285714,0.6990291262135923
2,2021,Gradient Boosting,10500,5475,126,0.9378995433789954,0.8635159420573083,0.9396352088894872,0.8476758266802596,0.9651538737875703,0.8576214405360134,0.9529411764705882,0.6428571428571429,0.7677725118483413
3,2022,Random Forest,15975,5475,0,0.9592694063926941,0.6105901979154761,0.9609575469716565,0.9551548719183649,0.9762942489635378,0.8554763447828905,0.0,0.0,0.0
3,2022,Extra Trees,15975,5475,0,0.9673059360730594,0.6203050070155514,0.9683857899662119,0.9560684506787875,0.9812916182221753,0.8796234028244788,0.0,0.0,0.0
3,2022,Gradient Boosting,15975,5475,0,0.9446575342465754,0.5954786713333601,0.9485154987900656,0.9627720417808012,0.9673315363881402,0.8191044776119403,0.0,0.0,0.0
4,2023,Random Forest,21450,5475,73,0.9448401826484019,0.7612363926274153,0.9461992632820615,0.7841135406413016,0.9755589018881038,0.8596654275092936,0.40217391304347827,0.5068493150684932,0.4484848484848485
4,2023,Extra Trees,21450,5475,73,0.9452054794520548,0.75120496314708,0.945858258547727,0.7603836118851545,0.9756322901027832,0.8596819457436857,0.4,0.4383561643835616,0.41830065359477125
4,2023,Gradient Boosting,21450,5475,73,0.942648401826484,0.7883015793715004,0.9473684264390382,0.9164435829143532,0.976950976950977,0.854089219330855,0.37640449438202245,0.9178082191780822,0.5338645418326693
5,2024,Random Forest,26925,5490,0,0.9336976320582878,0.5860421205519245,0.9347340579623874,0.8915694422746445,0.9603485838779956,0.7977777777777778,0.0,0.0,0.0
5,2024,Extra Trees,26925,5490,0,0.9357012750455374,0.5864945297079495,0.9359254118164998,0.8824202468364318,0.9617758527341635,0.7977077363896848,0.0,0.0,0.0
5,2024,Gradient Boosting,26925,5490,0,0.9182149362477231,0.5791453720498275,0.9239266792347567,0.937361662240275,0.9493285182259339,0.7881075979235489,0.0,0.0,0.0
