Model,Fold_Count,Mean_Accuracy,Mean_Macro_F1,Std_Macro_F1,Mean_Weighted_F1,Mean_Balanced_Accuracy,Mean_Safe_F1,Mean_Caution_F1,Danger_Fold_Count,Total_Danger_Samples,Mean_Danger_Precision,Mean_Danger_Recall,Mean_Danger_F1
Gradient Boosting,5,0.9285747935224693,0.6725352521305096,0.14414636176328552,0.9304458679886325,0.8407625419837148,0.9615579169472351,0.7957204287080917,3,278,0.44311522361753686,0.5202217873450751,0.4338790178936702
Random Forest,5,0.9363418419542381,0.6709777632289858,0.1331426867217091,0.9350544435941781,0.795267407522189,0.9662695952528516,0.8028203832737215,3,278,0.4673913043478261,0.3779444806842067,0.40640551860064056
Extra Trees,5,0.9387513037403,0.6656783140394922,0.12222394119994708,0.9365164009724701,0.7820102103843392,0.9682357921555047,0.8053331940012992,3,278,0.43333333333333335,0.33659491193737767,0.37244325993612115
